FIRST,LAST,ID,BATS,TEAM,YEAR,AGE,AgeDiff,Tm,Lg,Lev,Aff,G,PA,AB,R,H,_2B,_3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BB_Percent,K_percent,BB_K,HR_Percent,IOS
Austin,Byler,byler-000aus,Left,,2017,24,1.3,Visalia,CALL,A+,ARI,121,503,450,64,109,31,6,9,66,8,4,42,138,.242,.313,.398,.711,179,9,6,1,4,0,8.350,27.435,30.435,1.789,0.156
Austin,Byler,byler-000aus,Left,,2018,25,0.8,Schaumburg,FRON,Ind,,14,56,52,2,4,2,0,0,1,1,0,1,20,.077,.125,.115,.240,6,,2,0,1,0,1.786,35.714,5.000,0.000,0.038
Jose,Queliz,queliz000jos,Right,,2012,19,0.5,Diamondbacks,DOSL,FRk,ARI,46,172,156,23,39,6,0,3,30,1,0,10,25,.250,.298,.346,.644,54,6,2,1,3,0,5.814,14.535,40.000,1.744,0.096
Jose,Queliz,queliz000jos,Right,,2013,20,-0.6,Missoula,PION,Rk,ARI,49,213,200,28,58,15,1,4,38,1,0,10,38,.290,.319,.435,.754,87,10,0,0,3,0,4.695,17.840,26.316,1.878,0.145
Jose,Queliz,queliz000jos,Right,,2014,21,,,,A+-A,ARI,48,162,156,15,35,6,0,2,12,0,1,4,42,.224,.253,.301,.554,47,5,2,0,0,0,2.469,25.926,9.524,1.235,0.077
Jose,Queliz,queliz000jos,Right,,2014,21,-1.8,Visalia,CALL,A+,ARI,42,138,133,12,26,2,0,2,9,0,1,3,34,.195,.225,.256,.480,34,5,2,0,0,0,2.174,24.638,8.824,1.449,0.061
Jose,Queliz,queliz000jos,Right,,2014,21,-0.5,South Bend,MIDW,A,ARI,6,24,23,3,9,4,0,0,3,0,0,1,8,.391,.417,.565,.982,13,0,0,0,0,0,4.167,33.333,12.500,0.000,0.174
Jose,Queliz,queliz000jos,Right,,2014-15,21,-6.4,Zulia,VEWL,FgW,,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
Jose,Queliz,queliz000jos,Right,,2015,22,,,,A+-A--A,ARI,55,193,181,19,49,9,1,5,21,0,0,6,43,.271,.306,.414,.720,75,6,4,0,2,0,3.109,22.280,13.953,2.591,0.143
Jose,Queliz,queliz000jos,Right,,2015,22,-0.6,Visalia,CALL,A+,ARI,20,72,69,8,19,3,0,4,14,0,0,1,25,.275,.278,.493,.771,34,1,0,0,2,0,1.389,34.722,4.000,5.556,0.218
Jose,Queliz,queliz000jos,Right,,2015,22,0.6,Kane County,MIDW,A,ARI,15,49,46,7,12,3,0,0,4,0,0,2,7,.261,.306,.326,.632,15,2,1,0,0,0,4.082,14.286,28.571,0.000,0.065
Jose,Queliz,queliz000jos,Right,,2015,22,1.0,Hillsboro,NORW,A-,ARI,20,72,66,4,18,3,1,1,3,0,0,3,11,.273,.333,.394,.727,26,3,3,0,0,0,4.167,15.278,27.273,1.389,0.121
