FIRST,LAST,ID,BATS,TEAM,YEAR,AGE,AgeDiff,Tm,Lg,Lev,Aff,G,PA,AB,R,H,_2B,_3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BB_Percent,K_percent,BB_K,HR_Percent,IOS
Luvin,Valbuena,valbue000luv,Right,Arizona Diamondbacks,2017,18,-0.1,Diamondbacks 1,DOSL,FRk,ARI,22,73,66,4,17,0,0,0,2,1,0,6,11,.258,.329,.258,.586,17,1,1,0,0,0,8.219,15.068,54.545,0.000,0.000
Luvin,Valbuena,valbue000luv,Right,Arizona Diamondbacks,2018,19,-0.4,Diamondbacks,ARIZ,Rk,ARI,17,66,60,7,15,1,0,0,7,1,0,4,12,.250,.288,.267,.555,16,2,0,0,2,0,6.061,18.182,33.333,0.000,0.017
Alberto,Rosario,rosari001alb,Right,,2006,19,0.3,Angels,DOSL,FRk,LAA,55,205,178,28,49,5,4,0,23,3,5,18,21,.275,.351,.348,.700,62,7,4,3,2,1,8.780,10.244,85.714,0.000,0.073
Alberto,Rosario,rosari001alb,Right,,2007,20,0.0,Angels,ARIZ,Rk,LAA,19,81,73,11,22,4,0,1,9,2,2,5,9,.301,.350,.397,.747,29,2,1,1,1,0,6.173,11.111,55.556,1.235,0.096
Alberto,Rosario,rosari001alb,Right,,2008,21,,,,A+-Rk-A-AAA,LAA,73,243,228,22,52,12,1,0,25,4,2,10,42,.228,.261,.289,.551,66,4,1,2,2,0,4.115,17.284,23.810,0.000,0.061
Alberto,Rosario,rosari001alb,Right,,2008,21,-5.9,Salt Lake,PCL,AAA,LAA,1,3,3,1,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,1,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
Alberto,Rosario,rosari001alb,Right,,2008,21,-1.6,Rancho Cucamonga,CALL,A+,LAA,42,134,124,11,27,5,0,0,14,3,1,8,18,.218,.261,.258,.519,32,3,0,0,2,0,5.970,13.433,44.444,0.000,0.040
Alberto,Rosario,rosari001alb,Right,,2008,21,-0.6,Cedar Rapids,MIDW,A,LAA,16,49,46,5,11,2,0,0,2,1,1,1,11,.239,.255,.283,.538,13,0,0,2,0,0,2.041,22.449,9.091,0.000,0.044
Alberto,Rosario,rosari001alb,Right,,2008,21,0.2,Orem,PION,Rk,LAA,14,57,55,5,13,5,1,0,9,0,0,1,13,.236,.263,.364,.627,20,1,1,0,0,0,1.754,22.807,7.692,0.000,0.128
Alberto,Rosario,rosari001alb,Right,,2008-09,21,-6.3,Azucareros,DOWL,FgW,,2,6,4,0,1,1,0,0,0,0,0,1,1,.250,.500,.500,1.000,2,0,1,0,0,0,16.667,16.667,100.000,0.000,0.250
Alberto,Rosario,rosari001alb,Right,,2009,22,-0.8,Rancho Cucamonga,CALL,A+,LAA,104,343,314,38,73,15,4,0,35,9,4,13,43,.232,.279,.306,.585,96,6,8,6,2,0,3.790,12.536,30.233,0.000,0.074
Alberto,Rosario,rosari001alb,Right,,2009-10,22,-5.3,Toros,DOWL,FgW,,28,61,58,4,10,3,0,0,4,0,0,2,13,.172,.200,.224,.424,13,1,0,1,0,0,3.279,21.311,15.385,0.000,0.052
Alberto,Rosario,rosari001alb,Right,,2010,23,,,,A+-AA,LAA,99,389,347,45,87,12,1,4,32,10,3,18,56,.251,.294,.326,.620,113,10,5,15,4,0,4.627,14.396,32.143,1.028,0.075
Alberto,Rosario,rosari001alb,Right,,2010,23,-1.2,Arkansas,TL,AA,LAA,51,179,166,11,32,3,0,0,8,2,2,7,31,.193,.224,.211,.435,35,2,0,5,1,0,3.911,17.318,22.581,0.000,0.018
Alberto,Rosario,rosari001alb,Right,,2010,23,0.2,Rancho Cucamonga,CALL,A+,LAA,48,210,181,34,55,9,1,4,24,8,1,11,25,.304,.355,.431,.786,78,8,5,10,3,0,5.238,11.905,44.000,1.905,0.127
Alberto,Rosario,rosari001alb,Right,,2010-11,23,-4.0,Toros,DOWL,FgW,,27,64,56,4,12,2,0,0,4,1,1,2,12,.214,.241,.250,.491,14,0,0,6,0,0,3.125,18.750,16.667,0.000,0.036
Alberto,Rosario,rosari001alb,Right,,2011,24,0.0,Arkansas,TL,AA,LAA,89,320,290,32,66,6,1,3,26,5,1,23,40,.228,.291,.286,.577,83,12,4,0,3,1,7.187,12.500,57.500,0.938,0.058
Alberto,Rosario,rosari001alb,Right,,2011-12,24,-2.5,Toros,DOWL,FgW,,32,85,76,2,7,1,0,0,5,1,0,7,19,.092,.176,.105,.282,8,1,1,0,1,0,8.235,22.353,36.842,0.000,0.013
Alberto,Rosario,rosari001alb,Right,,2012,25,,,,AA-AAA,LAA,71,257,240,20,53,10,0,2,25,5,4,10,49,.221,.263,.288,.550,69,4,4,2,1,0,3.891,19.066,20.408,0.778,0.067
Alberto,Rosario,rosari001alb,Right,,2012,25,-1.8,Salt Lake,PCL,AAA,LAA,21,83,77,6,17,3,0,1,8,4,1,4,17,.221,.268,.299,.567,23,1,1,1,0,0,4.819,20.482,23.529,1.205,0.078
Alberto,Rosario,rosari001alb,Right,,2012,25,0.9,Arkansas,TL,AA,LAA,50,174,163,14,36,7,0,1,17,1,3,6,32,.221,.260,.282,.542,46,3,3,1,1,0,3.448,18.391,18.750,0.575,0.061
Alberto,Rosario,rosari001alb,Right,,2012-13,25,-1.6,Estrellas,DOWL,FgW,,30,74,63,8,14,5,0,0,7,0,0,9,11,.222,.329,.302,.630,19,1,1,1,0,0,12.162,14.865,81.818,0.000,0.080
Alberto,Rosario,rosari001alb,Right,,2013,26,,,,AAA-AA,BOS,41,143,126,16,27,3,0,2,10,0,0,10,26,.214,.286,.286,.571,36,4,3,3,1,0,6.993,18.182,38.462,1.399,0.072
Alberto,Rosario,rosari001alb,Right,,2013,26,-1.0,Pawtucket,IL,AAA,BOS,30,102,90,13,21,3,0,2,6,0,0,7,22,.233,.303,.333,.636,30,3,2,3,0,0,6.863,21.569,31.818,1.961,0.100
Alberto,Rosario,rosari001alb,Right,,2013,26,1.6,Portland,EL,AA,BOS,11,41,36,3,6,0,0,0,4,0,0,3,4,.167,.244,.167,.411,6,1,1,0,1,0,7.317,9.756,75.000,0.000,0.000
Alberto,Rosario,rosari001alb,Right,,2013-14,26,-0.1,Estrellas,DOWL,FgW,,16,53,51,4,13,3,0,0,5,0,1,0,9,.255,.255,.314,.569,16,0,0,2,0,0,0.000,16.981,0.000,0.000,0.059
Alberto,Rosario,rosari001alb,Right,,2014,27,2.5,Chattanooga,SOUL,AA,LAD,25,50,47,3,13,1,0,1,7,0,0,3,15,.277,.320,.362,.682,17,1,0,0,0,0,6.000,30.000,20.000,2.000,0.085
Alberto,Rosario,rosari001alb,Right,,2014-15,27,0.4,Estrellas,DOWL,FgW,,25,69,61,9,25,4,0,1,9,2,1,5,13,.410,.463,.525,.987,32,3,1,2,0,0,7.246,18.841,38.462,1.449,0.115
Alberto,Rosario,rosari001alb,Right,,2015,28,,,,AA-AAA,STL,48,180,164,12,32,10,0,1,5,0,1,9,21,.195,.250,.274,.524,45,2,3,4,0,2,5.000,11.667,42.857,0.556,0.079
Alberto,Rosario,rosari001alb,Right,,2015,28,1.3,Memphis,PCL,AAA,STL,4,16,16,3,5,2,0,0,0,0,1,0,2,.313,.313,.438,.750,7,0,0,0,0,0,0.000,12.500,0.000,0.000,0.125
Alberto,Rosario,rosari001alb,Right,,2015,28,3.8,Springfield,TL,AA,STL,44,164,148,9,27,8,0,1,5,0,0,9,19,.182,.244,.257,.501,38,2,3,4,0,2,5.488,11.585,47.368,0.610,0.075
Alberto,Rosario,rosari001alb,Right,,2015-16,28,1.9,Estrellas,DOWL,FgW,,29,70,66,5,15,3,0,0,6,0,2,2,17,.227,.261,.273,.534,18,0,1,1,0,0,2.857,24.286,11.765,0.000,0.046
Alberto,Rosario,rosari001alb,Right,,2016,29,0.8,STL,NL,MLB,STL,20,41,38,3,7,2,0,0,2,0,0,2,5,.184,.225,.237,.462,9,2,0,1,0,0,4.878,12.195,40.000,0.000,0.053
Alberto,Rosario,rosari001alb,Right,,2016,29,2.5,Memphis,PCL,AAA,STL,39,124,114,8,32,5,0,0,13,0,0,6,20,.281,.323,.325,.647,37,6,2,0,2,0,4.839,16.129,30.000,0.000,0.044
Alberto,Rosario,rosari001alb,Right,,2016-17,29,2.6,Estrellas,DOWL,FgW,,26,54,47,2,5,1,0,0,2,0,0,5,14,.106,.189,.128,.316,6,4,0,1,1,0,9.259,25.926,35.714,0.000,0.022
Alberto,Rosario,rosari001alb,Right,,2017,30,2.0,STL,NL,MLB,STL,3,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,1,0,0,0,0,0.000,33.333,0.000,0.000,0.000
Alberto,Rosario,rosari001alb,Right,,2017,30,3.6,Memphis,PCL,AAA,STL,50,204,190,20,47,6,0,0,23,3,0,11,31,.247,.291,.279,.570,53,5,1,1,1,0,5.392,15.196,35.484,0.000,0.032
Alberto,Rosario,rosari001alb,Right,,2017-18,30,3.6,Estrellas,DOWL,FgW,,27,83,75,2,10,1,0,0,5,0,0,3,12,.133,.177,.147,.324,11,2,1,4,0,0,3.614,14.458,25.000,0.000,0.014
Alberto,Rosario,rosari001alb,Right,,2018,31,,,,AA-AAA,ARI,51,179,166,16,42,4,0,2,19,0,2,8,28,.253,.288,.313,.601,52,9,1,2,2,0,4.469,15.642,28.571,1.117,0.060
Alberto,Rosario,rosari001alb,Right,,2018,31,4.6,Reno,PCL,AAA,ARI,14,47,42,5,9,1,0,1,8,0,0,1,8,.214,.244,.310,.554,13,1,1,2,1,0,2.128,17.021,12.500,2.128,0.096
Alberto,Rosario,rosari001alb,Right,,2018,31,7.1,Jackson,SOUL,AA,ARI,37,132,124,11,33,3,0,1,11,0,2,7,20,.266,.303,.315,.618,39,8,0,0,1,0,5.303,15.152,35.000,0.758,0.049
Alberto,Rosario,rosari001alb,Right,,2018-19,31,4.6,Estrellas,DOWL,FgW,,11,11,10,0,1,0,0,0,0,0,0,1,1,.100,.182,.100,.282,1,0,0,0,0,0,9.091,9.091,100.000,0.000,0.000
Andy,Yerzy,yerzy-000and,Left,Arizona Diamondbacks,2016,17,,,,Rk,ARI,45,172,162,7,35,5,0,1,16,0,1,4,38,.216,.240,.265,.505,43,4,2,1,3,0,2.326,22.093,10.526,0.581,0.049
Andy,Yerzy,yerzy-000and,Left,Arizona Diamondbacks,2016,17,-2.8,Diamondbacks,ARIZ,Rk,ARI,27,110,102,5,20,3,0,1,15,0,0,4,22,.196,.220,.255,.475,26,4,0,1,3,0,3.636,20.000,18.182,0.909,0.059
Andy,Yerzy,yerzy-000and,Left,Arizona Diamondbacks,2016,17,-3.6,Missoula,PION,Rk,ARI,18,62,60,2,15,2,0,0,1,0,1,0,16,.250,.274,.283,.558,17,0,2,0,0,0,0.000,25.806,0.000,0.000,0.033
Andy,Yerzy,yerzy-000and,Left,Arizona Diamondbacks,2017,18,-2.8,Missoula,PION,Rk,ARI,54,249,225,36,67,12,0,13,45,0,0,24,45,.298,.365,.524,.890,118,7,0,0,0,1,9.639,18.072,53.333,5.221,0.226
Andy,Yerzy,yerzy-000and,Left,Arizona Diamondbacks,2018,19,-2.0,Hillsboro,NORW,A-,ARI,63,276,239,30,71,11,1,8,34,0,0,28,67,.297,.382,.452,.834,108,9,6,0,2,3,10.145,24.275,41.791,2.899,0.155
Matt,McPhearson,mcphea000mat,Left,New York Yankees,2013,18,-1.7,Diamondbacks,ARIZ,Rk,ARI,42,152,130,20,26,3,1,0,7,15,3,21,45,.200,.311,.238,.550,31,2,0,1,0,0,13.816,29.605,46.667,0.000,0.038
Matt,McPhearson,mcphea000mat,Left,New York Yankees,2014,19,-0.6,Diamondbacks,ARIZ,Rk,ARI,43,191,160,32,45,2,0,0,16,23,3,23,43,.281,.381,.294,.675,47,0,4,2,2,1,12.042,22.513,53.488,0.000,0.013
Matt,McPhearson,mcphea000mat,Left,New York Yankees,2015,20,-0.9,Missoula,PION,Rk,ARI,56,196,173,29,41,1,1,0,14,30,7,18,53,.237,.318,.254,.572,44,2,3,1,1,0,9.184,27.041,33.962,0.000,0.017
Matt,McPhearson,mcphea000mat,Left,New York Yankees,2016,21,,,,A-A--AAA,ARI,33,109,92,16,21,3,0,0,4,16,3,15,22,.228,.333,.261,.594,24,1,0,1,1,0,13.761,20.183,68.182,0.000,0.033
Matt,McPhearson,mcphea000mat,Left,New York Yankees,2016,21,-5.5,Reno,PCL,AAA,ARI,3,1,1,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
Matt,McPhearson,mcphea000mat,Left,New York Yankees,2016,21,-0.6,Kane County,MIDW,A,ARI,23,88,73,14,16,2,0,0,4,9,3,13,21,.219,.333,.247,.580,18,1,0,1,1,0,14.773,23.864,61.905,0.000,0.028
Matt,McPhearson,mcphea000mat,Left,New York Yankees,2016,21,0.0,Hillsboro,NORW,A-,ARI,7,20,18,2,5,1,0,0,0,6,0,2,1,.278,.350,.333,.683,6,0,0,0,0,0,10.000,5.000,200.000,0.000,0.055
Matt,McPhearson,mcphea000mat,Left,New York Yankees,2017,22,-0.7,Visalia,CALL,A+,ARI,111,445,406,48,113,15,5,0,29,31,11,30,86,.278,.333,.340,.672,138,6,4,3,2,0,6.742,19.326,34.884,0.000,0.062
Matt,McPhearson,mcphea000mat,Left,New York Yankees,2018,23,1.7,Charleston,SALL,A,NYY,33,126,109,14,29,6,2,0,12,10,2,17,31,.266,.365,.358,.723,39,2,0,0,0,0,13.492,24.603,54.839,0.000,0.092
Satchel,McElroy,mcelro000sat,Right,Cincinnati Reds,2015,18,-1.9,Reds,ARIZ,Rk,CIN,36,109,102,16,26,0,1,0,2,7,5,6,26,.255,.303,.275,.577,28,3,1,0,0,0,5.505,23.853,23.077,0.000,0.020
Satchel,McElroy,mcelro000sat,Right,Cincinnati Reds,2016,19,-1.6,Billings,PION,Rk,CIN,36,110,104,12,22,4,1,0,14,7,2,2,23,.212,.248,.269,.517,28,1,3,1,0,0,1.818,20.909,8.696,0.000,0.057
Satchel,McElroy,mcelro000sat,Right,Cincinnati Reds,2017,20,,,,Rk-A+,CIN,34,129,114,23,24,1,2,2,5,6,2,9,21,.211,.286,.307,.593,35,1,3,3,0,0,6.977,16.279,42.857,1.550,0.096
Satchel,McElroy,mcelro000sat,Right,Cincinnati Reds,2017,20,-2.8,Daytona,FLOR,A+,CIN,5,18,17,0,1,0,0,0,0,0,0,0,7,.059,.059,.059,.118,1,1,0,1,0,0,0.000,38.889,0.000,0.000,0.000
Satchel,McElroy,mcelro000sat,Right,Cincinnati Reds,2017,20,-0.8,Billings,PION,Rk,CIN,29,111,97,23,23,1,2,2,5,6,2,9,14,.237,.321,.351,.672,34,0,3,2,0,0,8.108,12.613,64.286,1.802,0.114
Satchel,McElroy,mcelro000sat,Right,Cincinnati Reds,2018,21,,,,Rk,CIN,35,102,91,17,16,1,0,0,3,2,1,9,30,.176,.250,.187,.437,17,3,0,2,0,0,8.824,29.412,30.000,0.000,0.011
Satchel,McElroy,mcelro000sat,Right,Cincinnati Reds,2018,21,0.7,Greeneville,APPY,Rk,CIN,14,35,28,5,2,1,0,0,0,0,0,6,11,.071,.235,.107,.342,3,0,0,1,0,0,17.143,31.429,54.545,0.000,0.036
Satchel,McElroy,mcelro000sat,Right,Cincinnati Reds,2018,21,0.5,Billings,PION,Rk,CIN,21,67,63,12,14,0,0,0,3,2,1,3,19,.222,.258,.222,.480,14,3,0,1,0,0,4.478,28.358,15.789,0.000,0.000
Stephen,Smith,smith-021ste,Right,Arizona Diamondbacks,2016,21,0.0,Hillsboro,NORW,A-,ARI,37,154,128,19,26,4,1,2,10,2,0,19,39,.203,.331,.297,.628,38,0,6,0,1,0,12.338,25.325,48.718,1.299,0.094
Stephen,Smith,smith-021ste,Right,Arizona Diamondbacks,2017,22,,,,A-A-,ARI,58,225,180,28,48,11,2,2,20,4,3,40,59,.267,.413,.383,.797,69,4,5,0,0,0,17.778,26.222,67.797,0.889,0.116
Stephen,Smith,smith-021ste,Right,Arizona Diamondbacks,2017,22,0.7,Kane County,MIDW,A,ARI,42,157,126,19,36,10,2,2,19,2,3,27,41,.286,.427,.444,.871,56,3,4,0,0,0,17.197,26.115,65.854,1.274,0.158
Stephen,Smith,smith-021ste,Right,Arizona Diamondbacks,2017,22,1.2,Hillsboro,NORW,A-,ARI,16,68,54,9,12,1,0,0,1,2,0,13,18,.222,.382,.241,.623,13,1,1,0,0,0,19.118,26.471,72.222,0.000,0.019
Stephen,Smith,smith-021ste,Right,Arizona Diamondbacks,2018,23,,,,A+-A,ARI,82,343,297,41,63,13,2,8,37,4,4,37,104,.212,.312,.350,.662,104,10,7,0,2,0,10.787,30.321,35.577,2.332,0.138
Stephen,Smith,smith-021ste,Right,Arizona Diamondbacks,2018,23,0.7,Visalia,CALL,A+,ARI,77,323,284,39,63,13,2,8,36,4,3,32,99,.222,.313,.366,.679,104,10,6,0,1,0,9.907,30.650,32.323,2.477,0.144
Stephen,Smith,smith-021ste,Right,Arizona Diamondbacks,2018,23,1.7,Kane County,MIDW,A,ARI,5,20,13,2,0,0,0,0,1,0,1,5,5,.000,.300,.000,.300,0,0,1,0,1,0,25.000,25.000,100.000,0.000,0.000
Pavin,Smith,smith-000pav,Left,Arizona Diamondbacks,2017,21,0.2,Hillsboro,NORW,A-,ARI,51,222,195,34,62,15,2,0,27,2,1,27,24,.318,.401,.415,.816,81,4,0,0,0,0,12.162,10.811,112.500,0.000,0.097
Pavin,Smith,smith-000pav,Left,Arizona Diamondbacks,2018,22,-0.3,Visalia,CALL,A+,ARI,120,504,439,63,112,25,1,11,54,3,2,57,65,.255,.343,.392,.735,172,16,4,0,4,1,11.310,12.897,87.692,2.183,0.137
Pavin,Smith,smith-000pav,Left,Arizona Diamondbacks,2018,22,-0.4,Salt River,AZFL,Fal,,17,76,68,10,17,1,0,0,8,1,0,8,10,.250,.329,.265,.594,18,3,0,0,0,1,10.526,13.158,80.000,0.000,0.015
Jake,McCarthy,mccart005jac,Left,Arizona Diamondbacks,2018,20,,,,A--Rk,ARI,58,253,219,34,63,17,4,3,22,21,8,23,41,.288,.375,.443,.818,97,0,9,0,2,0,9.091,16.206,56.098,1.186,0.155
Jake,McCarthy,mccart005jac,Left,Arizona Diamondbacks,2018,20,-1.0,Hillsboro,NORW,A-,ARI,55,241,208,33,60,17,3,3,18,20,8,22,40,.288,.378,.442,.820,92,0,9,0,2,0,9.129,16.598,55.000,1.245,0.154
Jake,McCarthy,mccart005jac,Left,Arizona Diamondbacks,2018,20,0.6,Diamondbacks,ARIZ,Rk,ARI,3,12,11,1,3,0,1,0,4,1,0,1,1,.273,.333,.455,.788,5,0,0,0,0,0,8.333,8.333,100.000,0.000,0.182
Jordan,McArdle,mcardl000jor,Left,Arizona Diamondbacks,2016,18,-5.8,Adelaide,AUBL,Fgn,,27,93,79,11,22,6,0,3,17,0,0,9,20,.278,.355,.468,.823,37,3,2,0,3,0,9.677,21.505,45.000,3.226,0.190
Jordan,McArdle,mcardl000jor,Left,Arizona Diamondbacks,2017,19,-0.8,Diamondbacks,ARIZ,Rk,ARI,33,133,115,10,22,2,0,0,11,0,2,17,47,.191,.293,.209,.502,24,5,0,0,1,0,12.782,35.338,36.170,0.000,0.018
Jordan,McArdle,mcardl000jor,Left,Arizona Diamondbacks,2017,19,-5.8,Adelaide,AUBL,Fgn,,39,142,119,8,24,2,0,5,19,0,0,18,47,.202,.310,.345,.654,41,2,2,0,3,0,12.676,33.099,38.298,3.521,0.143
Jordan,McArdle,mcardl000jor,Left,Arizona Diamondbacks,2018,20,0.6,Diamondbacks,ARIZ,Rk,ARI,16,65,54,6,15,1,0,1,8,0,0,10,20,.278,.385,.352,.736,19,0,0,0,1,0,15.385,30.769,50.000,1.538,0.074
Jordan,McArdle,mcardl000jor,Left,Arizona Diamondbacks,2018,20,-4.7,Adelaide,AUBL,Fgn,,7,26,22,0,2,0,0,0,1,0,0,4,8,.091,.231,.091,.322,2,1,0,0,0,0,15.385,30.769,50.000,0.000,0.000
Joey,Rose,rose--000joe,Right,Arizona Diamondbacks,2016,18,,,,Rk-A-,ARI,49,175,155,19,35,10,4,1,9,2,0,14,57,.226,.310,.361,.672,56,1,5,1,0,0,8.000,32.571,24.561,0.571,0.135
Joey,Rose,rose--000joe,Right,Arizona Diamondbacks,2016,18,-3.0,Hillsboro,NORW,A-,ARI,2,3,2,0,0,0,0,0,0,0,0,1,2,.000,.333,.000,.333,0,0,0,0,0,0,33.333,66.667,50.000,0.000,0.000
Joey,Rose,rose--000joe,Right,Arizona Diamondbacks,2016,18,-1.8,Diamondbacks,ARIZ,Rk,ARI,47,172,153,19,35,10,4,1,9,2,0,13,55,.229,.310,.366,.676,56,1,5,1,0,0,7.558,31.977,23.636,0.581,0.137
Joey,Rose,rose--000joe,Right,Arizona Diamondbacks,2017,19,-1.8,Missoula,PION,Rk,ARI,49,217,199,32,62,15,2,9,39,2,0,13,56,.312,.364,.543,.907,108,3,4,0,1,0,5.991,25.806,23.214,4.147,0.231
Joey,Rose,rose--000joe,Right,Arizona Diamondbacks,2018,20,,,,A--A,ARI,111,454,402,42,85,28,4,11,68,4,2,38,150,.211,.284,.383,.667,154,2,6,0,8,1,8.370,33.040,25.333,2.423,0.172
Joey,Rose,rose--000joe,Right,Arizona Diamondbacks,2018,20,-1.3,Kane County,MIDW,A,ARI,50,189,160,19,28,7,2,3,26,1,0,24,71,.175,.291,.300,.591,48,0,3,0,2,0,12.698,37.566,33.803,1.587,0.125
Joey,Rose,rose--000joe,Right,Arizona Diamondbacks,2018,20,-1.0,Hillsboro,NORW,A-,ARI,61,265,242,23,57,21,2,8,42,3,2,14,79,.236,.279,.438,.717,106,2,3,0,6,1,5.283,29.811,17.722,3.019,0.202
Alfredo,Rodriguez,rodrig005alf,Right,,2012,22,1.1,Helena,PION,Rk,MIL,72,317,267,30,75,13,2,1,36,7,10,34,45,.281,.379,.356,.735,95,8,9,6,1,0,10.726,14.196,75.556,0.315,0.075
Alfredo,Rodriguez,rodrig005alf,Right,,2013,23,1.6,Wisconsin,MIDW,A,MIL,109,465,392,52,106,15,0,2,35,10,11,50,52,.270,.363,.324,.687,127,8,9,10,4,0,10.753,11.183,96.154,0.430,0.054
Alfredo,Rodriguez,rodrig005alf,Right,,2014,24,1.3,Brevard County,FLOR,A+,MIL,82,300,263,30,67,9,1,2,27,16,6,31,33,.255,.341,.319,.661,84,7,4,1,1,0,10.333,11.000,93.939,0.667,0.064
Alfredo,Rodriguez,rodrig005alf,Right,,2015,25,0.4,Joliet,FRON,Ind,,96,416,352,57,101,18,1,4,39,18,7,41,34,.287,.369,.378,.747,133,,10,4,9,0,9.856,8.173,120.588,0.962,0.091
Alfredo,Rodriguez,rodrig005alf,Right,,2016,26,1.6,Joliet,FRON,Ind,,96,444,370,74,104,13,1,3,28,21,6,51,45,.281,.385,.346,.731,128,,15,2,6,0,11.486,10.135,113.333,0.676,0.065
Alfredo,Rodriguez,rodrig005alf,Right,,2017,27,-1.8,Somerset,ATLL,Ind,,112,471,405,57,104,20,0,1,32,14,8,50,52,.257,.345,.314,.658,127,,7,4,5,0,10.616,11.040,96.154,0.212,0.057
Alfredo,Rodriguez,rodrig005alf,Right,,2018,28,-1.1,Somerset,ATLL,Ind,,122,507,432,69,131,18,3,5,55,17,6,58,62,.303,.395,.394,.788,170,,10,3,4,0,11.440,12.229,93.548,0.986,0.091
Alfredo,Rodriguez,rodrig008alf,Right,Cincinnati Reds,2016,22,3.8,Reds,DOSL,FRk,CIN,22,93,77,12,18,5,0,0,8,9,0,9,16,.234,.333,.299,.632,23,3,4,0,3,1,9.677,17.204,56.250,0.000,0.065
Alfredo,Rodriguez,rodrig008alf,Right,Cincinnati Reds,2017,23,0.2,Daytona,FLOR,A+,CIN,118,516,483,52,122,14,0,2,36,11,9,25,79,.253,.294,.294,.588,142,10,4,2,2,0,4.845,15.310,31.646,0.388,0.041
Alfredo,Rodriguez,rodrig008alf,Right,Cincinnati Reds,2018,24,,,,A+-AA-Rk,CIN,46,172,157,19,33,8,1,2,15,4,0,11,32,.210,.273,.312,.585,49,10,3,0,1,0,6.395,18.605,34.375,1.163,0.102
Alfredo,Rodriguez,rodrig008alf,Right,Cincinnati Reds,2018,24,0.1,Pensacola,SOUL,AA,CIN,9,29,26,4,5,0,0,0,0,0,0,2,7,.192,.276,.192,.468,5,2,1,0,0,0,6.897,24.138,28.571,0.000,0.000
Alfredo,Rodriguez,rodrig008alf,Right,Cincinnati Reds,2018,24,1.6,Daytona,FLOR,A+,CIN,31,122,111,12,23,5,1,2,12,4,0,8,22,.207,.270,.324,.595,36,7,2,0,1,0,6.557,18.033,36.364,1.639,0.117
Alfredo,Rodriguez,rodrig008alf,Right,Cincinnati Reds,2018,24,4.6,Reds,ARIZ,Rk,CIN,6,21,20,3,5,3,0,0,3,0,0,1,3,.250,.286,.400,.686,8,1,0,0,0,0,4.762,14.286,33.333,0.000,0.150
Alfredo,Rodriguez,rodrig008alf,Right,Cincinnati Reds,2018,24,1.6,Scottsdale,AZFL,Fal,,20,72,67,6,12,3,0,0,2,1,1,5,15,.179,.236,.224,.460,15,4,0,0,0,0,6.944,20.833,33.333,0.000,0.045
Kristian,Robinson,robins000kri,Right,Arizona Diamondbacks,2018,17,,,,Rk,ARI,57,256,222,48,62,12,0,7,41,12,8,27,67,.279,.363,.428,.791,95,3,4,0,3,0,10.547,26.172,40.299,2.734,0.149
Kristian,Robinson,robins000kri,Right,Arizona Diamondbacks,2018,17,-2.4,Diamondbacks,ARIZ,Rk,ARI,40,182,162,35,44,11,0,4,31,7,5,16,46,.272,.341,.414,.754,67,3,2,0,2,0,8.791,25.275,34.783,2.198,0.142
Kristian,Robinson,robins000kri,Right,Arizona Diamondbacks,2018,17,-3.5,Missoula,PION,Rk,ARI,17,74,60,13,18,1,0,3,10,5,3,11,21,.300,.419,.467,.886,28,0,2,0,1,0,14.865,28.378,52.381,4.054,0.167
James,Vasquez,vasque000jam,Left,,2015,22,2.1,Reds,ARIZ,Rk,CIN,42,164,142,19,51,11,3,9,36,0,1,15,25,.359,.415,.669,1.084,95,3,2,0,5,0,9.146,15.244,60.000,5.488,0.310
James,Vasquez,vasque000jam,Left,,2016,23,1.4,Dayton,MIDW,A,CIN,130,529,475,46,106,20,1,14,66,2,1,43,92,.223,.295,.358,.653,170,10,7,0,4,0,8.129,17.391,46.739,2.647,0.135
James,Vasquez,vasque000jam,Left,,2017,24,,,,A+-A,CIN,110,437,387,44,100,24,0,10,59,0,1,41,58,.258,.332,.398,.730,154,14,4,0,5,2,9.382,13.272,70.690,2.288,0.140
James,Vasquez,vasque000jam,Left,,2017,24,1.2,Daytona,FLOR,A+,CIN,64,255,226,23,62,14,0,5,33,0,0,26,35,.274,.349,.403,.752,91,9,1,0,2,1,10.196,13.725,74.286,1.961,0.129
James,Vasquez,vasque000jam,Left,,2017,24,2.7,Dayton,MIDW,A,CIN,46,182,161,21,38,10,0,5,26,0,1,15,23,.236,.308,.391,.699,63,5,3,0,3,1,8.242,12.637,65.217,2.747,0.155
James,Vasquez,vasque000jam,Left,,2018,25,,,,AAA,,50,154,132,22,31,6,1,1,19,1,0,18,35,.235,.325,.318,.643,42,4,1,0,3,1,11.688,22.727,51.429,0.649,0.083
James,Vasquez,vasque000jam,Left,,2018,25,-4.2,Puebla,MEX2,AAA,,31,95,81,13,20,6,0,0,13,1,0,13,22,.247,.347,.321,.668,26,2,0,0,1,1,13.684,23.158,59.091,0.000,0.074
