Bats,Age,PA,BA,OBP,SLG,BB%,K%,BB/K,HR%,Lev,Aff,First,Last,ID
Left,23,375,.287,.347,.461,7.467,17.067,43.750,2.133,A-A+-AA,ARI,Ryan,Grotjohn,grotjo000rya
Right,21,239,.214,.297,.295,9.205,18.828,48.889,0.418,A-,ARI,Keshawn,Lynch,lynch-000kes
Right,22,168,.235,.304,.379,6.548,30.952,21.154,1.786,A+-Rk,ARI,Anfernee,Grier,grier-000anf
Left,19,174,.231,.341,.299,13.218,22.414,58.974,0.000,Rk-A,CIN,Nate,Scantlin,scantl000nat
Right,23,345,.241,.275,.396,4.058,29.855,13.592,1.449,A-A+,ARI,Luis,Silverio,silver003lui
Right,18,86,.165,.209,.291,3.488,39.535,8.824,1.163,Rk,CIN,Isaias,Silverio,silver000isa
Right,18,175,.282,.389,.389,9.143,23.429,39.024,1.143,FRk,CIN,Luis,Tejada,tejada003lui
Right,22,384,.285,.393,.398,13.542,21.875,61.905,1.042,A+,ARI,Mark,Karaviotis,karavi000mar
Right,18,192,.294,.330,.333,4.688,16.667,28.125,0.000,Rk,CIN,Claudio,Finol,finol-000cla
Right,19,260,.349,.402,.447,6.923,8.462,81.818,0.000,Rk-FRk,ARI,Axel,Andueza,anduez000axe
Left,19,191,.242,.353,.373,12.565,29.843,42.105,1.047,Rk-A-,ARI,Kevin,Watson,watson002kev
Left,21,165,.182,.321,.285,13.939,36.970,37.705,0.000,A-,ARI,Ryan,January,januar000rya
Right,23,164,.307,.409,.504,9.756,10.976,88.889,1.829,Rk-A-,ARI,David,Garza,garza-000dav
Left,18,255,.245,.306,.382,7.843,30.588,25.641,2.745,FRk,ARI,Rafael,Jimenez,jimene003raf
Right,24,540,.267,.352,.405,10.370,18.519,56.000,2.037,A+-AA,CIN,Mitch,Nay,nay---001mit
Right,18,140,.240,.343,.264,10.000,16.429,60.870,0.000,FRk,ARI,Manuel,Garcia,garcia019man
,,,,,,,,,,,,Jose,Garcia,garcia043jos
Right,21,184,.236,.375,.439,16.304,41.304,39.474,2.717,Rk,CIN,Bren,Spillane,spilla000bre
,,,,,,,,,,,,Jose,Garcia,reyes-021jos
Right,25,453,.206,.279,.383,7.726,40.177,19.231,3.091,AA-AAA,CIN,Taylor,Sparks,sparks000tay
Left,23,36,.219,.306,.219,11.111,33.333,33.333,0.000,AA-A+,NYM,Jose,Garcia,garcia035jos
Unknown,--,215,.197,.312,.262,12.093,20.465,59.091,0.465,Ind,,Jose,Garcia,garcia046jos
Right,20,517,.245,.290,.344,3.675,21.663,16.964,1.161,A,CIN,Jose,Garcia,garcia047jos
Right,20,187,.245,.346,.390,10.695,17.647,60.606,1.070,Rk,ARI,Cesar,Garcia,garcia001ces
Right,19,126,.186,.328,.225,12.698,30.159,42.105,0.000,FRk,ARI,Andy,Garcia,garcia013and
